//1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,17,17,18,0,0,0,0,0,0,0,0,16,17,18
0,0,0,0,0,0,19,0,0,19,0,0,0,0,19,0,0,0,0,19,0,0,0,19,0,0,0,0,0,0,0,0
0,0,0,0,0,0,19,0,0,19,0,0,103,0,19,0,103,0,0,14,0,103,0,19,0,0,0,0,0,0,0,0
14,14,0,12,2,2,2,2,2,2,2,2,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,12,13,0,5
204,14,0,5,8,4,4,4,4,4,4,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,5
0,14,0,5,3,14,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,5
0,14,0,5,3,14,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,5
0,14,0,5,3,14,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,3,0,5
0,14,0,5,3,14,0,0,202,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,3,0,5
0,0,0,5,3,14,14,14,14,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,0,14,14,5,3,0,5
2,13,0,5,3,0,0,0,0,0,0,0,0,0,0,0,12,2,2,2,2,2,2,13,0,12,2,2,6,3,0,5
1,3,0,5,3,0,0,0,0,0,0,0,0,0,0,0,5,8,4,4,4,4,4,10,0,5,1,1,1,3,0,5
1,3,0,5,3,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,5,1,1,1,3,0,5
1,3,0,5,3,0,0,0,0,0,0,0,0,0,0,0,5,3,0,12,2,2,2,2,2,6,1,1,1,3,0,5
1,3,0,5,3,0,0,0,0,0,0,0,0,0,0,0,5,3,0,5,8,4,4,4,4,4,4,4,4,10,0,11
1,3,0,5,3,103,0,0,0,0,104,0,0,0,0,103,5,3,0,5,3,0,0,0,0,0,19,0,0,0,0,0
1,3,0,5,7,2,2,2,2,2,2,2,2,2,2,2,6,3,0,5,3,0,0,0,0,0,19,0,0,0,0,0
1,3,0,11,4,4,4,4,4,4,4,4,4,4,4,4,4,10,0,5,3,0,0,0,0,0,19,0,0,0,0,0
1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,14,14,14,14,14,14
1,3,0,0,0,102,0,0,0,0,0,0,0,102,0,0,0,0,0,5,3,0,0,0,0,0,19,0,0,0,0,101
1,7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,3,0,0,0,0,0,19,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,0,0,0,0,0,19,0,0,0,0,0
